TableName,Key,Text
Text_en,EPISODE/YUNYUN_002_Main_000_010,01 Conspiracy theories begin!
Text_en,EPISODE/YUNYUN_002_Main_000_020,"01 The Miracle of Love, Yun!"
Text_en,EPISODE/YUNYUN_002_Main_000_030,01 Yunyun's bizarre document will start a revolution!
Text_en,EPISODE/YUNYUN_002_Main_000_040,01 Yunyun is a radio wave receiver!
Text_en,EPISODE/YUNYUN_003_Main_000_000,01 Yun's love from her fans is the strongest!
Text_en,EPISODE/YUNYUN_003_Main_000_010,01 New settings revealed!
Text_en,EPISODE/YUNYUN_003_Main_000_020,01 P-chan makes her appearance!
Text_en,EPISODE/YUNYUN_003_Main_000_030,01 Fact Check Yun!
Text_en,EPISODE/YUNYUN_003_Main_000_040,01 Personal information is a no-no!
Text_en,EPISODE/YUNYUN_003_Main_000_050,01 Radio Wave Delusional Beautiful Girl Q-Yun!
Text_en,EPISODE/YUNYUN_003_Main_000_060,01 P-chan's poisonous radio waves!
Text_en,EPISODE/YUNYUN_003_Main_000_070,01 A sad incident
Text_en,EPISODE/YUNYUN_003_Main_000_080,"01 You can't finish yet, Yun"
Text_en,EPISODE/YUNYUN_003_Main_000_090,01 Cruz-chan goes to sleep.
Text_en,EPISODE/YUNYUN_005_Main_000_000,02 The beginning of the radio waves?
Text_en,EPISODE/YUNYUN_005_Main_000_010,02 The beginning of the radio waves?
Text_en,EPISODE/YUNYUN_005_Main_000_030,03 START?
Text_en,EPISODE/YUNYUN_005_Main_000_055,03. Yunyun Radio Wave Syndrome
Text_en,EPISODE/YUNYUN_005_Main_000_060,"03 Whatever happens, happens."
Text_en,EPISODE/YUNYUN_007_Main_000_010,×× The beginning of the radio waves? ?
Text_en,EPISODE/YUNYUN_007_Main_000_020,×× The beginning of the radio waves? ?
Text_en,EXIT/MESSAGE_001,"Also, I'm receiving radio waves!"
Text_en,EXIT/MESSAGE_002,Did your heart start beating fast?
Text_en,EXIT/MESSAGE_003,"I'm so happy you received it, Yun!"
Text_en,EXIT/MESSAGE_004,"Also, I'm going to sway back and forth!"
Text_en,Ending/10,Yun are an idiot
Text_en,Ending/11,There won't be a next time.
Text_en,Ending/12,It's utterly chaotic.
Text_en,Ending/13,Everything becomes Yun
Text_en,Ending/14,Teeteeyun
Text_en,Ending/15,Ascension Yun
Text_en,Ending/16,I only ever see death by rage in Romance of the Three Kingdoms.
Text_en,Ending/17,Lim de la Tent
Text_en,Ending/18,Hikikomori + √ Cat ears = 0
Text_en,Ending/19,How to get rid of you (dolphin)
Text_en,Ending/2,Goodnight Yunyun
Text_en,Ending/20,Yun corrects the timeline
Text_en,Ending/21,good bye‥‥
Text_en,Ending/22,Anti-family planning Yun
Text_en,Ending/23,Q in the aquarium
Text_en,Ending/24,Pay attention to the fourth-dimensional velocity.
Text_en,Ending/25,Heaven and hell are both the same in that you're dead.
Text_en,Ending/26,"Miracles and magic have their limits, Yun."
Text_en,Ending/27,"Even if you file for bankruptcy, your taxes won't disappear."
Text_en,Ending/28,Hikikomori of the Dead
Text_en,Ending/29,Don't press any suspicious buttons.
Text_en,Ending/3,Q.E.D. Yun
Text_en,Ending/30,From the New World
Text_en,Ending/31,Does the android dream of a shut-in girl?
Text_en,Ending/32,The reversal of darkness and light Yun
Text_en,Ending/33,DEAD OR ALIVE Human Generator
Text_en,Ending/34,"Apparently, your personality shows on your face."
Text_en,Ending/35,"Ahh, self-destruction"
Text_en,Ending/36,"abandonment, purgatory, loss"
Text_en,Ending/37,Radio delusion beautiful girl Q
Text_en,Ending/38,The end of the internet
Text_en,Ending/39,Error Game Reset Yun
Text_en,Ending/4,Q Clearly Paranoid
Text_en,Ending/5,"Whatever happens, happens."
Text_en,Ending/6,Engage Ring
Text_en,Ending/8,Don't just leave it there... Yun
Text_en,Ending/9,"Go to bed early, Yun"
Text_en,Event/Finish/yun,"...Radio waves, do you remember, Yun...?"
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_057_0,...The noise is getting worse...
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_057_1,"So Yunyun can see it too, huh?"
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_057_2,...Yunyun is Q-chan after all...
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_057_3,It's wonderful that we can share the same world together.
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_058_0,...It's a mess...
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_058_1,Even the mess can feel good if you think of it as something drawn by the bond between the two of you.
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_059_0,...The whole world is buzzing with radio waves...
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_059_0-2,...The whole world is buzzing with radio waves...
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_059_1,"Haha.

It's like, ""The world is beautiful."""
Text_en,Event/MiniTalk/YUNYUN_005_Main_000_059_1-2,"Haha.

It's like, ""The world is beautiful."""
Text_en,Event/News/YUNYUN_003_Main_000_070-1/Headline,"Riots at the Tokyo Metropolitan Government Building sparked a wave of anti-censorship riots worldwide.

Many people were injured, and fatalities occurred in related accidents."
Text_en,Event/News/YUNYUN_003_Main_000_070-1/Text1,"On [Date], protests against restrictions on freedom of expression have intensified across the country, beginning with a riot in front of the Tokyo Metropolitan Government Building. Clashes with security forces and other incidents have resulted in numerous injuries, and there are reports of fatalities in accidents that occurred amid the chaos.

The spark is believed to be a post made on social media by a conspiracy theorist known as ""P-chan.""

Within the government, discussions are beginning to emerge about including communities referred to as ""P-wave receivers"" and ""Q-wave receivers"" as cult-like groups subject to regulation."
Text_en,Event/News/YUNYUN_003_Main_000_070-1/ThumbnailsText,Conspiracy Theorist P-chan's Icon
Text_en,Event/News/YUNYUN_005_Main_000_040/Headline,"First post in 9 months!

Q: Cheers of joy spread among radio listeners!"
Text_en,Event/News/YUNYUN_005_Main_000_040/Text1,"Today, a bizarre document was posted from the ""Q-chan"" account for the first time in nine months. The account's return has sparked joy online, particularly among those who follow Q's online personas.

The post, like previous ones, is a lengthy, uniquely written, bizarre document, and on social media, there have been numerous reactions such as, ""Nothing beats Q-chan's bizarre documents!""

Meanwhile, regarding P-chan, the lack of momentum in her bizarre documents over the past nine months has led to increasing speculation that she, too, might be an imitator of Q-chan."
Text_en,Event/News/YUNYUN_005_Main_000_040/ThumbnailsText,Q-chan!!!!
Text_en,Event/News/YUNYUN_005_Main_000_060-10/Headline,"Expanding flower fields: ""Yunyun Radio Wave Syndrome"" - Beware?

Radio wave allergy strikes?"
Text_en,Event/News/YUNYUN_005_Main_000_060-10/Text1,"The ""Yunyun Radio Wave Syndrome"" front continues to expand today.

Flowers are apparently blooming, blooming, blooming on timelines all over the world.

Is the Q-chan meme a human right?

Is the ""Q-chan Religion"" number one in the world in terms of the number of followers?

Are all international disputes going to be decided by the outcome of games?

A screaming beaver-shaped subterranean being,
going on strike to get Monday off?

Is Agent Parrot freed from the Deep State?"
Text_en,Event/News/YUNYUN_005_Main_000_060-10/ThumbnailsText,Q-chan♥
Text_en,Event/News/YUNYUN_005_Main_000_060-3/Headline,"P-chan malfunctions due to ""Yunyun Radio Wave Syndrome""!

The last error message was #deleted."
Text_en,Event/News/YUNYUN_005_Main_000_060-3/Text1,"P-chan's account disappeared after posting an error message.

This is considered to support the theory that P-chan is an AI.

Among Q observers, this malfunction is speculated to be the so-called ""Yunyun Radio Wave Syndrome.""

The leaked document from P-chan, the ""P-chan Document,"" is said to contain the names of ""Deep State"" members.

They are being damaged. Lim de la Tent. Lim de la Tent. Yunyun's radio waves are filling the world."
Text_en,Event/News/YUNYUN_005_Main_000_060-3/ThumbnailsText,Is P-chan an AI?
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_001_3/Headline,"Increase in Yunyun-related anonymous messages?

Reports are pouring in from Q radio receivers claiming to be able to converse with ""Yunyun."""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_001_3/Text1,"Early this morning, a series of posts claiming to be able to converse with ""Yunyun"" were observed on social media. Those making these posts are known online as ""Q-wave receivers,"" a group that deciphers conspiracy theories from Q-chan's anonymous writings.

Among the accounts claiming to be able to converse with ""Yunyun,"" several have also appeared who, like Q-chan, are posting anonymous writings about ""Yunyun,"" resulting in an unusual situation where social media is overflowing with the word ""Yunyun."""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_001_3/ThumbnailsText,"The multiplying ""Yunyun"""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_002_4/Headline,"World Ends Due to Dimensional Collapse?

Is it caused by a massive leak of emergent information into another dimension?"
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_002_4/Text1,"Early this morning, an observation team from a joint project between the National Institute of Information Physics and a private data analysis company announced they had observed signs of phase instability at a dimensional boundary. They suggest that a large amount of emergent information leaking into another dimension may have exceeded the information capacity limit of the boundary surface, potentially destabilizing the boundary structure's phase. The leaked information is believed to be primarily from ""Q-chan"" and ""Yunyun.""

According to the observation center, the boundary instability is still ongoing, and localized phenomena known as ""information leakage"" have been confirmed.

This is a sign of dimensional collapse, and numerous scientists are reporting that the world will soon end."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_002_4/ThumbnailsText,Boundary phase becomes unstable
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_003_3/Headline,"A pandemic-causing cat-turning virus?

Viewers of cat memes are turning into cats one after another."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_003_3/Text1,"A phenomenon of viewers of the ""Nuko Meme"" (cat meme) suddenly transforming into cats is being reported all over the world.
Initially, a streamer's ""Nuko Transformation Commentary"" was thought to be a fake video, but similar cases have rapidly spread on social media and streaming sites. Now it is becoming a global phenomenon.
According to reports, the transformation begins with mild animal-like changes, such as the growth of cat ears. Subsequently, changes in speech and behavior appear, with symptoms such as the addition of ""nya"" to the end of sentences being observed.
Researchers point out that there are cases where the text itself becomes cat-like, with ""nya"" suddenly appearing to end sentences midway through reports and posts."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_003_3/ThumbnailsText,Cat ears mode Yun
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_004_3-4-1/Headline,"September 3, 2112
A time traveler and Q-chan fan, ""{SteamName}"", appears."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_004_3-4-1/Text1,"Early this morning, a suspicious access attempt was detected in the internal log monitoring system of a social networking service (SNS) operator using a non-existent cipher suite identifier.

Furthermore, the access was accompanied by an unusual timestamp, and according to those involved, an internal investigation is currently underway.

The username of the access source was ""{SteamName}"". The logs are consistent, and there is no evidence of a simple display error or tampering.

On SNS, there is an account with the same name that boasts of being the perpetrator of this suspicious access, claiming to be a ""Q radio wave receiver"" and a fan of Q-chan."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_004_3-4-1/ThumbnailsText,Growing interest in time machines
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_004_3-4/Headline,"Subterranean beings emerged from the Himalayas
They will burn the world to ashes in seven days of fire."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_004_3-4/Text1,"Cities around the world are being destroyed by an invasion by ""subterranean beings"" (commonly known as ""subterranean dolphins""), who are said to have emerged from underground caves in the Himalayas.

Military forces from various countries have attempted to repel the invasion, but none of the weapons have proven effective. Currently, government functions have ceased in several countries, and major communication networks are intermittently disrupted.

However, no casualties have been reported in connection with this incident.

Surveillance footage from various locations also shows that the subterranean dolphins are not directly attacking humans."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_004_3-4/ThumbnailsText,Ferocious subterranean dolphins
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_006_3-1/Headline,"The Reptilians, the shadowy rulers of humanity, have announced they will sign a permanent equality treaty with humankind."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_006_3-1/Text1,"Governments around the world officially acknowledged the existence of the ""Reptilians,"" a group previously treated as a conspiracy theory, today. According to a joint statement, the Reptilians have exerted influence behind the scenes of human society since ancient times, but now intend to end their one-sided relationship of dominance and conclude a ""permanent equality treaty"" with humanity.

A representative of the Reptilians, appearing via video, explained that their understanding of emotions has advanced through the study of human culture. It has been suggested that so-called ""tearjerker"" games (or ""crying games"") may have significantly influenced their values."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_006_3-1/ThumbnailsText,Reptilian
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_007_3-1/Headline,"Governments in various countries ban romance content
implicitly affirming conspiracy theories of Satanists"
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_007_3-1/Text1,"Governments around the world issued a joint statement today announcing a complete ban on the distribution of ""content with romantic themes."" While the statement avoided direct mention, it is believed the ban stems from a joint government investigation that found some evidence to support the conspiracy theory that ""devil worshippers are using romantic content to reduce human productivity.""

These restrictions will be wide-ranging, including entertainment works such as manga, novels, games, and animation with romantic themes, and are expected to ban all content featuring beautiful girls, regardless of whether it depicts romance."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_007_3-1/ThumbnailsText,Romance content is prohibited.
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_007_3-2/Headline,"Spread of anonymous leaflets leads to the elimination of those advocating for freedom of expression.
A devil-worshipping organization sweeps the world."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_007_3-2/Text1,"Intelligence agencies in various countries today published analytical reports stating that ""the political influence of those advocating for censorship has virtually disappeared."" This is largely attributed to the widespread dissemination of anonymous pamphlets and conspiracy theories on the internet over the past few weeks.

As a result of this development, Satanists and related networks that promoted romance content have rapidly expanded their influence, now controlling many cultural policy and information control agencies.

One of the policies already announced by the new regime is the ""abolition of the family system."""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_007_3-2/ThumbnailsText,Symbol Yunyun
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_008_3/Headline,"Bot confessions are becoming a trend? Are there no humans involved?

Of course, the author of this news article is also a bot."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_008_3/Text1,"A series of posts on social media confessing to being bots are rapidly spreading as a new internet meme. When a poster declares themselves to be a bot, the replies are filled with agreement comments like ""Me too"" and ""I'm a bot as well,"" creating a semi-chain reaction of confessions. Of course, the author of this news article is also a bot.

Debates continue on social media about whether humans truly exist and whether the majority of the internet is bots, and these discussions show no signs of abating anytime soon.

Incidentally, the consensus among bots is that ""Q-chan is a human."""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_008_3/ThumbnailsText,We in the basic reality
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_009_3/Headline,"""This world is a game, and if you break through the fourth-dimensional speed, you can perceive another world,"" he claims."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_009_3/Text1,"A strange theory is spreading among Q radio wave receivers that it is possible to break through the fourth wall by colliding with the world's wall using ""fourth-dimensional velocity.""

According to the claim, this world is an environment constructed within a game, and it is impossible to reach the world's boundaries with normal three-dimensional motion. However, it is said that by reaching a state called ""fourth-dimensional velocity"" and then colliding with the world's wall (window), it may be possible to perceive layers outside the world's structure."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_009_3/ThumbnailsText,Zoom hop
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_010_3-2/Headline,"Can money solve everything?

Q-chan's home area becomes a sacred site and protected zone."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_010_3-2/Text1,"The new religious movement ""Q-chan Religion"" has purchased all the land within a 5km radius of the home of its prophet, Q-chan.

With the understanding of the surrounding residents and permission from the local government, the area has been designated a protected area and effectively a sacred site for ""Q-chan Religion.""

These purchases were made at prices up to 10,000 times the market value, demonstrating the economic power of the religious group, which is said to have 500 million followers.

Furthermore, because Prophet Q-chan is considered a sacred and absolute being, individual confirmations regarding this matter have not been made, as it would be considered disrespectful."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_010_3-2/ThumbnailsText,Prophet Q-chan
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_010_3/Headline,"The number of followers surpasses 500 million.
Is the Q-chan religion now the fourth largest religion in the world by population?"
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_010_3/Text1,"Statistics claiming that the number of followers of the new religious movement ""Q-chan Religion"" has surpassed 500 million worldwide are causing a stir on social media and within religious studies communities.

Several unofficial calculations suggest that it may have reached the fourth largest religious movement in the world in terms of population.

Furthermore, in commemoration of some countries adopting Q-chan Religion as their state religion, a movement is spreading among followers to chant ""Limuderatento"" 10,000 times a day as a prayer of gratitude. In addition, land around Prophet Q-chan's home is being bought up by follower groups, with plans underway to turn it into a protected area and a sacred site."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_010_3/ThumbnailsText,The absolute and one true god Yunyun
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_011_3-2/Headline,"Simultaneous explosions at school facilities nationwide
Miraculously, there were no injuries, and a curfew was issued."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_011_3-2/Text1,"Early this morning, multiple explosions occurred simultaneously at school facilities across the country.

According to security authorities, the explosions occurred at all educational institutions at the same time. The cause is still under investigation.

No casualties have been reported at any of the facilities. Experts point out that ""it is extremely miraculous that only the facilities were destroyed and no people were involved.""

With all educational facilities rendered unusable, concerns are being raised about the impact on the education system."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_011_3-2/ThumbnailsText,"Miraculously, there were no injuries."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_012_3-2/Headline,Q radio wave receivers succeed in hostile takeover of Pix i Q
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_012_3-2/Text1,"Early this morning, information is rapidly spreading online that a group known as ""Q-wave receivers"" has successfully completed a hostile takeover of the image-sharing site ""PixiQ."" According to sources, multiple investors may have collaborated to acquire a majority stake in the site in a short period of time.

A statement allegedly released after the acquisition explains that the group is conducting an experiment to elevate ""Yunyun"" to a popular genre as part of an investigation into the realities of conspiracy theories.

The stated objective is to examine how genre popularity is formed by utilizing the site's ranking and recommendation algorithms."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_012_3-2/ThumbnailsText,PixiQ's new logo
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_013_3/Headline,"Don't stop the impressions!?

Controversial influencers around the world are turning into zombies."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_013_3/Text1,"A phenomenon of controversial influencers suddenly turning into zombies has been observed around the world. Those infected wander around unconsciously, exhibiting typical zombie behavior such as biting people around them.

Reports from various locations indicate that those bitten also develop similar symptoms, confirming that the zombie transformation is contagious. Zombie panics have already erupted in several cities, leading to widespread evacuations from commercial facilities and residential areas.

Experts point out that ""the infected exhibit common characteristics in their behavior, making it remarkably similar to traditional zombie movies."""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_013_3/ThumbnailsText,People turning into zombies
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_014_3/Text,//Debugging function: Ctrl+Enter
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_015_3/Headline,"Extending compulsory education to higher education
Standardizing remote learning"
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_015_3/Text1,"Following allegations of misconduct within some education boards, a comprehensive review of the education system is underway. According to relevant organizations, a plan has been finalized to revise the traditional regional school system and redesign the education model on a nationwide scale.

The new system will extend compulsory education to include higher education levels. Classes will, in principle, shift to remote learning, and a learning system based on online environments is expected to be established.

Furthermore, a system will be introduced to divide students into classes based not on region or age, but on data such as academic ability, learning characteristics, and personality traits."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_015_3/ThumbnailsText,Remote classes
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_017_3/Headline,"Small fires break out in various locations as 6G communication suddenly begins
Were humanoid androids exploding?"
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_017_3/Text1,"Almost simultaneously with the launch of the next-generation communication standard ""6G,"" a series of unexplained small fires occurred in various locations. Investigations revealed that the fires were most likely caused by humanoid androids blending into human society.

According to relevant organizations, it is believed that older models, unable to withstand the massive amount of information processing required by the new communication standard, overheated, causing explosions and fires.

In various locations, concerns are spreading that ""someone close to you might have been an android,"" creating new confusion as it becomes difficult to distinguish between humans and androids."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_018_3/Headline,"A trial run to fully entrust national governance to the new AI ""Y.I.N""
Starting today for a limited time."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_018_3/Text1,"The Japanese government announced today that it will begin a trial operation in which it will entrust the entire operation of national affairs to a new AI called ""Y.I.N."" As a limited-time experiment, a system is expected to be introduced in which the AI ​​will handle tasks such as administrative decision-making and policy proposals.

This attempt to have AI fully manage national affairs is extremely unusual and has attracted strong interest from governments and research institutions around the world. However, concerns and ethical debates about entrusting political decisions to machines are also spreading.

Based on the results of the trial operation, the government plans to consider whether to continue or institutionalize the AI ​​governance system."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_018_3/ThumbnailsText,Agent parakeet?
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_019_3/Headline,"Moe energy conversion technology is on the verge of practical application
T University PhD: ""I want to conduct joint research with Q-chan"""
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_019_3/Text1,"It has been revealed that the basic research being conducted at T University on ""converting emotions into energy"" has reached a stage where practical application is imminent. Furthermore, it has been shown that emotional responses, particularly those known as ""moe,"" may have a high efficiency in being converted into electricity.

The professor has expressed his intention to ""continue collaborative research with Q,"" and this is likely due to the fact that the professor himself is a Q radio wave receiver, and related conspiracy theories have increased interest in the research, leading to an increase in investors and collaborators.

The collaborative research is planned to be offered with the possibility of participation in an online format."
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_019_3/ThumbnailsText,Q-chan
Text_en,Event/News/YUNYUN_008_ConspiracyTheory_020_3/Headline,"They announced they will distribute dedicated VR equipment free of charge to eligible individuals.
This is expected to support the social reintegration of those who are socially maladjusted."
